LEVEL,Div Num,Div Name,Subject,Grade,Test,2020-2021 Pass Rate,2021-2022 Pass Rate,2022-2023 Pass Rate,2020-2021 Adv Pass Rate,2021-2022 Adv Pass Rate,2022-2023 Adv Pass Rate
DIV,1,Accomack County ,English: Reading,Gr 3,English Reading,48,55,53,4,5,4
DIV,1,Accomack County ,English: Reading,Gr 4,English Reading,54,62,65,8,8,9
DIV,1,Accomack County ,English: Reading,Gr 5,English Reading,50,60,64,6,5,4
DIV,1,Accomack County ,English: Reading,Gr 6,English Reading,63,66,68,10,6,9
DIV,1,Accomack County ,English: Reading,Gr 7,English Reading,63,71,63,5,8,8
DIV,1,Accomack County ,English: Reading,Gr 8,English Reading,61,73,73,4,7,8
DIV,1,Accomack County ,English: Reading,End of Course,English Reading,76,82,84,12,17,15
DIV,1,Accomack County ,English: Writing,Gr 8,Writing,48,56,54,7,8,12
DIV,1,Accomack County ,English: Writing,End of Course,Writing,66,70,69,9,14,10
DIV,1,Accomack County ,History and Social Sciences,Gr 5,History,<,,,<,,
DIV,1,Accomack County ,History and Social Sciences,Gr 8,History,<,,,<,,
DIV,1,Accomack County ,History and Social Sciences,Content Specific,Civics & Econ,,73,73,,8,12
DIV,1,Accomack County ,History and Social Sciences,Content Specific,VA Studies,,54,66,,12,17
DIV,1,Accomack County ,History and Social Sciences,End of Course,Geography,46,54,52,2,4,1
DIV,1,Accomack County ,History and Social Sciences,End of Course,VA & US History,19,16,19,2,0,0
DIV,1,Accomack County ,History and Social Sciences,End of Course,World History I,21,38,59,2,3,5
DIV,1,Accomack County ,History and Social Sciences,End of Course,World History II,10,26,<,0,3,<
DIV,1,Accomack County ,Mathematics,Gr 3,Mathematics,33,53,55,3,3,4
DIV,1,Accomack County ,Mathematics,Gr 4,Mathematics,35,50,57,3,3,5
DIV,1,Accomack County ,Mathematics,Gr 5,Mathematics,35,56,63,4,2,4
DIV,1,Accomack County ,Mathematics,Gr 6,Mathematics,46,63,67,4,5,8
DIV,1,Accomack County ,Mathematics,Gr 7,Mathematics,34,63,53,2,4,3
DIV,1,Accomack County ,Mathematics,Gr 8,Mathematics,42,64,71,2,4,6
DIV,1,Accomack County ,Mathematics,End of Course,Algebra I,73,83,87,4,8,7
DIV,1,Accomack County ,Mathematics,End of Course,Algebra II,78,<,<,11,<,<
DIV,1,Accomack County ,Mathematics,End of Course,Geometry,84,90,96,5,14,4
DIV,1,Accomack County ,Mathematics,End of Course,Mathematics,,<,<,,<,<
DIV,1,Accomack County ,Remote English: Reading,Gr 3,English Reading,<,,,<,,
DIV,1,Accomack County ,Remote English: Reading,Gr 4,English Reading,<,,,<,,
DIV,1,Accomack County ,Remote Mathematics,Gr 3,Mathematics,<,,,<,,
DIV,1,Accomack County ,Remote Mathematics,Gr 4,Mathematics,<,,,<,,
DIV,1,Accomack County ,Science,Gr 5,Science,31,53,60,4,10,9
DIV,1,Accomack County ,Science,Gr 8,Science,49,59,63,3,3,4
DIV,1,Accomack County ,Science,End of Course,Biology,62,67,68,3,7,6
DIV,1,Accomack County ,Science,End of Course,Chemistry,10,<,<,0,<,<
DIV,1,Accomack County ,Science,End of Course,Earth Science,67,85,22,6,8,0
DIV,1,Accomack County ,Science,End of Course,Science,,<,<,,<,<
DIV,2,Albemarle County ,English: Reading,Gr 3,English Reading,70,66,64,16,14,13
